Tumor_Sample_Barcode	APOBECtCa_enrich	BH_Fisher_p-value_tCa	tCa_to_G+tCa_to_T	tCa_MutLoad_MinEstimate	APOBECrtCa_enrich	APOBECytCa_enrich	APOBECytCa_enrich-APOBECrtCa_enrich	rtCa_to_G+rtCa_to_T	ytCa_to_G+ytCa_to_T	ntca+tgan	rtca+tgay	ytca+tgar	ytCa_rtCa_Fisher_p-value	ytCa_rtCa_BH_Fisher_p-value	APOBEC_tCa_enrich_quartile	A3A_or_A3B
SP82399	1.93256114460468	0	17739	8560	1.87189433322191	2.05668156156954	0.18478722834763	6509	11230	173767	67606	106161	1.59346814105058e-10	4.5148263996433e-10	2	A3A
SP124364	1.92640592128221	0	16568	7968	1.84559720939717	2.06674636846741	0.22114915907024	6098	10470	163072	64373	98699	1.01762298209899e-13	4.32489767392069e-13	2	A3A
SP103894	1.92209790015556	0	24024	11525	1.86779149558112	2.0401414945622	0.17234999898108	8841	15183	237399	92292	145107	2.93044682692739e-12	1.14963683210229e-11	2	A3A
SP83083	1.91820953793485	0	11338	5427	1.80275551915103	2.07643792686362	0.27368240771259	4039	7299	112250	43695	68555	2.15944523750153e-14	1.00119733738707e-13	2	A3A
SP124425	1.91063097353035	0	13845	6599	1.84415599859009	2.03842153690127	0.19426553831118	5111	8734	137856	54146	83710	1.85451861956865e-09	4.50383093323815e-09	2	A3A
SP124458	1.89808028974291	0	24295	11495	1.86582368269953	2.0024314073554	0.13660772465587	9064	15231	240100	93579	146521	1.8320916801224e-08	4.15274114161077e-08	2	A3A
SP124456	1.89480400697875	0	6791	3207	1.88439512873247	1.98517102317054	0.10077589443807	2578	4213	67200	26340	40860	0.0285837116787003	0.0343004540144404	2	A3A
SP124291	1.88817154064337	1.41691686702108e-41	507	238	2.50357039455597	1.5694634593919	-0.93410693516407	260	247	8321	3308	5013	6.47843720228596e-08	1.27077037429455e-07	2	A3B
SP82431	1.87694940838667	0	51222	23932	1.81347485105711	2.0014480576568	0.18797320659969	18777	32445	550489	214563	335926	9.07635437287553e-30	7.12144727717926e-29	2	A3A
SP124452	1.86847858456649	0	13876	6450	1.81247249713868	1.988064575948	0.17559207880932	5147	8729	137380	53956	83424	2.62230470719042e-08	5.56070588755739e-08	2	A3A
SP104056	1.86595550696173	0	45529	21129	1.8496768434413	1.96045679834143	0.11077995490013	17097	28432	490098	190773	299325	2.64907465350595e-10	6.92834909378478e-10	2	A3A
SP82461	1.85812272787211	0	12304	5682	1.77564224831507	1.99332344593098	0.21768119761591	4491	7813	125339	49158	76181	6.80527242153269e-11	2.04158172645981e-10	2	A3A
SP124384	1.84224007490001	0	24372	11142	1.7961579818136	1.95315321623268	0.15699523441908	9030	15342	260833	101791	159042	2.96493798202543e-11	1.00807891388865e-10	2	A3A
SP83242	1.83143965725973	0	9742	4423	1.76166049370022	1.95648490917361	0.19482441547339	3559	6183	108313	42239	66074	1.625021233048e-07	3.12739935416785e-07	2	A3A
SP124382	1.81251319060699	0	65288	29267	1.75092628975045	1.93290661430162	0.18198032455117	23885	41403	696309	270913	425396	1.14199605847486e-37	9.70696649703634e-37	2	A3A
SP124401	1.77240980613049	0	60354	26302	1.7447253920818	1.87001981711281	0.12529442503101	22602	37752	639309	249888	389421	3.83351602289001e-18	2.30010961373401e-17	2	A3A
SP124377	1.76671243713311	0	8147	3536	1.66234778604915	1.9107643536778	0.24841656762865	2871	5276	89681	34509	55172	2.44397859123194e-10	6.5601530606752e-10	1	A3A
SP124298	1.76154370610177	0	50274	21734	1.71381598669776	1.87127843714259	0.15746245044483	18520	31754	535268	208251	327017	1.3043880776696e-23	8.3154739951437e-23	1	A3A
